code,grade,domain,cluster,requirement,pdf_page
N-CN.4,High School — Number and Quantity,The Complex Number System,Represent complex numbers and their operations on the complex plane.,"4. (+) Represent complex numbers on the complex plane in rectangular and polar form (including real and imaginary numbers), and explain why the rectangular and polar forms of a given complex number represent the same number.",P60
N-CN.5,High School — Number and Quantity,The Complex Number System,Represent complex numbers and their operations on the complex plane.,"5. (+) Represent addition, subtraction, multiplication, and conjugation of complex numbers geometrically on the complex plane; use properties of this representation for computation.",P60
N-CN.6,High School — Number and Quantity,The Complex Number System,Represent complex numbers and their operations on the complex plane.,"6. (+) Calculate the distance between numbers in the complex plane as the modulus of the difference, and the midpoint of a segment as the average of the numbers at its endpoints.",P60
N-CN.7,High School — Number and Quantity,The Complex Number System,Use complex numbers in polynomial identities and equations.,7. Solve quadratic equations with real coefficients that have complex solutions.,P60
N-CN.8,High School — Number and Quantity,The Complex Number System,Use complex numbers in polynomial identities and equations.,8. (+) Extend polynomial identities to the complex numbers.,P60
N-CN.9,High School — Number and Quantity,The Complex Number System,Use complex numbers in polynomial identities and equations.,9. (+) Know the Fundamental Theorem of Algebra; show that it is true for quadratic polynomials.,P60
N-VM.1,High School — Number and Quantity,Vector and Matrix Quantities,Represent and model with vector quantities.,"1. (+) Recognize vector quantities as having both magnitude and direction. Represent vector quantities by directed line segments, and use appropriate symbols for vectors and their magnitudes.",P61
N-VM.2,High School — Number and Quantity,Vector and Matrix Quantities,Represent and model with vector quantities.,2. (+) Find the components of a vector by subtracting the coordinates of an initial point from the coordinates of a terminal point.,P61
N-VM.3,High School — Number and Quantity,Vector and Matrix Quantities,Represent and model with vector quantities.,3. (+) Solve problems involving velocity and other quantities that can be represented by vectors.,P61
N-VM.4,High School — Number and Quantity,Vector and Matrix Quantities,Perform operations on vectors.,"4. (+) Add and subtract vectors. a. Add vectors end-to-end, component-wise, and by the parallelogram rule. Understand that the magnitude of a sum of two vectors is typically not the sum of the magnitudes. b. Given two vectors in magnitude and direction form, determine the magnitude and direction of their sum. c. Understand vector subtraction v – w as v + (–w), where –w is the additive inverse of w, with the same magnitude as w and pointing in the opposite direction. Represent vector subtraction graphically by connecting the tips in the appropriate order, and perform vector subtraction component-wise.",P61
N-VM.5,High School — Number and Quantity,Vector and Matrix Quantities,Perform operations on vectors.,"5. (+) Multiply a vector by a scalar. a. Represent scalar multiplication graphically by scaling vectors and possibly reversing their direction; perform scalar multiplication component-wise, b. Compute the magnitude of a scalar multiple cv using ||cv|| = |c|v. Compute the direction of cv knowing that when |c|v ≠ 0, the direction of cv is either along v (for c > 0) or against v (for c < 0).",P61
N-VM.6,High School — Number and Quantity,Vector and Matrix Quantities,Perform operations on matrices and use matrices in applications.,"6. (+) Use matrices to represent and manipulate data,",P61
N-VM.7,High School — Number and Quantity,Vector and Matrix Quantities,Perform operations on matrices and use matrices in applications.,"7. (+) Multiply matrices by scalars to produce new matrices,",P61
N-VM.8,High School — Number and Quantity,Vector and Matrix Quantities,Perform operations on matrices and use matrices in applications.,"8. (+) Add, subtract, and multiply matrices of appropriate dimensions.",P61
N-VM.9,High School — Number and Quantity,Vector and Matrix Quantities,Perform operations on matrices and use matrices in applications.,"9. (+) Understand that, unlike multiplication of numbers, matrix multiplication for square matrices is not a commutative operation, but still satisfies the associative and distributive properties.",P61
N-VM.10,High School — Number and Quantity,Vector and Matrix Quantities,Perform operations on matrices and use matrices in applications.,10. (+) Understand that the zero and identity matrices play a role in matrix addition and multiplication similar to the role of 0 and 1 in the real numbers. The determinant of a square matrix is nonzero if and only if the matrix has a multiplicative inverse.,P61
N-VM.11,High School — Number and Quantity,Vector and Matrix Quantities,Perform operations on matrices and use matrices in applications.,11. (+) Multiply a vector (regarded as a matrix with one column) by a matrix of suitable dimensions to produce another vector. Work with matrices as transformations of vectors.,P61
N-VM.12,High School — Number and Quantity,Vector and Matrix Quantities,Perform operations on matrices and use matrices in applications.,"12. (+) Work with 2 × 2 matrices as transformations of the plane, and interpret the absolute value of the determinant in terms of area.",P61
A-SSE.1,High School — Algebra,Seeing Structure in Expressions,Interpret the structure of expressions,"1. Interpret expressions that represent a quantity in terms of its context.★ a. Interpret parts of an expression, such as terms, factors, and coefficients. b. Interpret complicated expressions by viewing one or more of their parts as a single entity.",P64
A-SSE.2,High School — Algebra,Seeing Structure in Expressions,Interpret the structure of expressions,2. Use the structure of an expression to identify ways to rewrite it.,P64
A-SSE.3,High School — Algebra,Seeing Structure in Expressions,Write expressions in equivalent forms to solve problems,3. Choose and produce an equivalent form of an expression to reveal and explain properties of the quantity represented by the expression.★ a. Factor a quadratic expression to reveal the zeros of the function it defines. b. Complete the square in a quadratic expression to reveal the maximum or minimum value of the function it defines. c. Use the properties of exponents to transform expressions for exponential functions.,P64
A-SSE.4,High School — Algebra,Seeing Structure in Expressions,Write expressions in equivalent forms to solve problems,"4. Derive the formula for the sum of a finite geometric series (when the common ratio is not 1), and use the formula to solve problems.",P64
A-APR.1,High School — Algebra,Arithmetic with Polynomials and Rational Expressions,Perform arithmetic operations on polynomials,"1. Understand that polynomials form a system analogous to the integers, namely, they are closed under the operations of addition, subtraction, and multiplication; add, subtract, and multiply polynomials.",P64
A-APR.2,High School — Algebra,Arithmetic with Polynomials and Rational Expressions,Understand the relationship between zeros and factors of polynomials,"2. Know and apply the Remainder Theorem: For a polynomial p(x) and a number a, the remainder on division by x – a is p(a), so p(a) = 0 if and only if (x – a) is a factor of p(x).",P64
A-APR.3,High School — Algebra,Arithmetic with Polynomials and Rational Expressions,Understand the relationship between zeros and factors of polynomials,"3. Identify zeros of polynomials when suitable factorizations are available, and use the zeros to construct a rough graph of the function defined by the polynomial.",P64
A-APR.4,High School — Algebra,Arithmetic with Polynomials and Rational Expressions,Use polynomial identities to solve problems,4. Prove polynomial identities and use them to describe numerical relationships.,P64
A-APR.5,High School — Algebra,Arithmetic with Polynomials and Rational Expressions,Use polynomial identities to solve problems,"5. (+) Know and apply the Binomial Theorem for the expansion of (x + y)ⁿ in powers of x and y for a positive integer n, where x and y are any numbers.",P64
A-APR.6,High School — Algebra,Arithmetic with Polynomials and Rational Expressions,Rewrite rational expressions,"6. Rewrite simple rational expressions in different forms; write a(x)/b(x) in the form q(x) + r(x)/b(x), where a(x), b(x), q(x), and r(x) are polynomials with the degree of r(x) less than the degree of b(x), using inspection, long division, or, for the more complicated",P65
A-APR.7,High School — Algebra,Arithmetic with Polynomials and Rational Expressions,Rewrite rational expressions,"7. (+) Understand that rational expressions form a system analogous to the rational numbers, closed under addition, subtraction, multiplication, and division by a nonzero rational expression; add, subtract, multiply, and divide rational expressions.",P65
A-CED.1,High School — Algebra,Creating Equations★,Create equations that describe numbers or relationships,"1. Create equations and inequalities in one variable and use them to solve problems. Include equations arising from linear and quadratic functions, and simple rational and exponential functions.",P65
A-CED.2,High School — Algebra,Creating Equations★,Create equations that describe numbers or relationships,2. Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.,P65
A-CED.3,High School — Algebra,Creating Equations★,Create equations that describe numbers or relationships,"3. Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or non-viable options in a modeling context.",P65
A-CED.4,High School — Algebra,Creating Equations★,Create equations that describe numbers or relationships,"4. Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations.",P65
A-REI.1,High School — Algebra,Reasoning with Equations and Inequalities,Understand solving equations as a process of reasoning and explain the reasoning,"1. Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method.",P65
A-REI.2,High School — Algebra,Reasoning with Equations and Inequalities,Understand solving equations as a process of reasoning and explain the reasoning,"2. Solve simple rational and radical equations in one variable, and give examples showing how extraneous solutions may arise.",P65
A-REI.3,High School — Algebra,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,"3. Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters.",P65
A-REI.4,High School — Algebra,Reasoning with Equations and Inequalities,Solve equations and inequalities in one variable,"4. Solve quadratic equations in one variable. a. Use the method of completing the square to transform any quadratic equation in x into an equation of the form (x – p)² = q that has the same solutions. Derive the quadratic formula from this form. b. Solve quadratic equations by inspection, taking square roots, completing the square, the quadratic formula and factoring, as appropriate to the initial form of the equation. Recognize when the quadratic formula gives complex solutions and write them as a ± bi for real numbers a and b.",P65
A-REI.5,High School — Algebra,Reasoning with Equations and Inequalities,Solve systems of equations,"5. Prove that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions.","P65, 66"
A-REI.6,High School — Algebra,Reasoning with Equations and Inequalities,Solve systems of equations,"6. Solve systems of linear equations exactly and approximately, focusing on pairs of linear equations in two variables.","P65, 66"
A-REI.7,High School — Algebra,Reasoning with Equations and Inequalities,Solve systems of equations,7. Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically.,"P65, 66"
A-REI.8,High School — Algebra,Reasoning with Equations and Inequalities,Solve systems of equations,8. (+) Represent a system of linear equations as a single matrix equation in a vector variable.,"P65, 66"
A-REI.9,High School — Algebra,Reasoning with Equations and Inequalities,Solve systems of equations,9. (+) Find the inverse of a matrix if it exists and use it to solve systems of linear equations (using technology for matrices of dimension 3 × 3 or greater).,"P65, 66"
A-REI.10,High School — Algebra,Reasoning with Equations and Inequalities,Represent and solve equations and inequalities graphically,"10. Understand that the graph of an equation in two variables is the set of all its solutions plotted in the coordinate plane, often forming a curve (which could be a line).",P66
A-REI.11,High School — Algebra,Reasoning with Equations and Inequalities,Represent and solve equations and inequalities graphically,"11. Explain why the x-coordinates of the points where the graphs of the equations y = f(x) and y = g(x) intersect are the solutions of the equation f(x) = g(x); find the solutions approximately,",P66
A-REI.12,High School — Algebra,Reasoning with Equations and Inequalities,Represent and solve equations and inequalities graphically,"12. Graph the solutions to a linear inequality in two variables as a half-plane (excluding the boundary in the case of a strict inequality), and graph the solution set to a system of linear inequalities in two variables as the intersection of the corresponding half-planes.",P66
F-IF.1,High School — Functions,Interpreting Functions,Understand the concept of a function and use function notation,"1. Understand that a function from one set (called the domain) to another set (called the range) assigns to each element of the domain exactly one element of the range. If f is a function and x is an element of its domain, then f(x) denotes the output of f corresponding to the input x. The graph of f is the graph of the equation y = f(x).",P69
F-IF.2,High School — Functions,Interpreting Functions,Understand the concept of a function and use function notation,"2. Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context.",P69
F-IF.3,High School — Functions,Interpreting Functions,Understand the concept of a function and use function notation,"3. Recognize that sequences are functions, sometimes defined recursively, whose domain is a subset of the integers.",P69
F-IF.4,High School — Functions,Interpreting Functions,Interpret functions that arise in applications in terms of the context,"4. For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship. Key features include: intercepts; intervals where the function is increasing, decreasing, positive, or negative; relative maximums and minimums; symmetries; end behavior; and periodicity.★",P69
F-IF.5,High School — Functions,Interpreting Functions,Interpret functions that arise in applications in terms of the context,"5. Relate the domain of a function to its graph and, where applicable, to the quantitative relationship it describes.",P69
F-IF.6,High School — Functions,Interpreting Functions,Interpret functions that arise in applications in terms of the context,6. Calculate and interpret the average rate of change of a function (presented symbolically or as a table) over a specified interval. Estimate the rate of change from a graph.★,P69
F-IF.7,High School — Functions,Interpreting Functions,Analyze functions using different representations,"7. Graph functions expressed symbolically and show key features of the graph, by hand in simple cases and using technology for more complicated cases.★ a. Graph linear and quadratic functions and show intercepts, maxima, and minima. b. Graph square root, cube root, and piecewise-defined functions, including step functions and absolute value functions. c. Graph polynomial functions, identifying zeros when suitable factorizations are available, and showing end behavior. d. (+) Graph rational functions, identifying zeros and asymptotes when suitable factorizations are available, and showing end behavior. e. Graph exponential and logarithmic functions, showing intercepts and end behavior, and trigonometric functions, showing period, midline, and amplitude.","P69, 70"
F-IF.8,High School — Functions,Interpreting Functions,Analyze functions using different representations,"8. Write a function defined by an expression in different but equivalent forms to reveal and explain different properties of the function. a. Use the process of factoring and completing the square in a quadratic function to show zeros, extreme values, and symmetry of the graph, and interpret these in terms of a context. b. Use the properties of exponents to interpret expressions for exponential functions.","P69, 70"
F-IF.9,High School — Functions,Interpreting Functions,Analyze functions using different representations,"9. Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions).","P69, 70"
F-BF.1,High School — Functions,Building Functions,Build a function that models a relationship between two quantities,"1. Write a function that describes a relationship between two quantities.★ a. Determine an explicit expression, a recursive process, or steps for calculation from a context. b. Combine standard function types using arithmetic operations. c. (+) Compose functions.",P70
F-BF.2,High School — Functions,Building Functions,Build a function that models a relationship between two quantities,"2. Write arithmetic and geometric sequences both recursively and with an explicit formula, use them to model situations, and translate between the two forms.★",P70
F-BF.3,High School — Functions,Building Functions,Build new functions from existing functions,"3. Identify the effect on the graph of replacing f(x) by f(x) + k, k f(x), f(kx), and f(x + k) for specific values of k (both positive and negative); find the value of k given the graphs. Experiment with cases and illustrate an explanation of the effects on the graph using technology. Include recognizing even and odd functions from their graphs and algebraic expressions for them.",P70
F-BF.4,High School — Functions,Building Functions,Build new functions from existing functions,"4. Find inverse functions. a. Solve an equation of the form f(x) = c for a simple function f that has an inverse and write an expression for the inverse. b. (+) Verify by composition that one function is the inverse of another. c. (+) Read values of an inverse function from a graph or a table, given that the function has an inverse. d. (+) Produce an invertible function from a non-invertible function by restricting the domain.",P70
F-BF.5,High School — Functions,Building Functions,Build new functions from existing functions,5. (+) Understand the inverse relationship between exponents and logarithms and use this relationship to solve problems involving logarithms and exponents.,P70
F-LE.1,High School — Functions,"Linear, Quadratic, and Exponential Models★","Construct and compare linear, quadratic, and exponential models and solve problems","1. Distinguish between situations that can be modeled with linear functions and with exponential functions. a. Prove that linear functions grow by equal differences over equal intervals, and that exponential functions grow by equal factors over equal intervals. b. Recognize situations in which one quantity changes at a constant rate per unit interval relative to another. c. Recognize situations in which a quantity grows or decays by a constant percent rate per unit interval relative to another.","P70, 71"
F-LE.2,High School — Functions,"Linear, Quadratic, and Exponential Models★","Construct and compare linear, quadratic, and exponential models and solve problems","2. Construct linear and exponential functions, including arithmetic and geometric sequences, given a graph, a description of a relationship, or two input-output pairs (include reading these from a table).","P70, 71"
F-LE.3,High School — Functions,"Linear, Quadratic, and Exponential Models★","Construct and compare linear, quadratic, and exponential models and solve problems","3. Observe using graphs and tables that a quantity increasing exponentially eventually exceeds a quantity increasing linearly, quadratically, or (more generally) as a polynomial function.","P70, 71"
F-LE.4,High School — Functions,"Linear, Quadratic, and Exponential Models★","Construct and compare linear, quadratic, and exponential models and solve problems","4. For exponential models, express as a logarithm the solution to a b^(ct) = d where a, c, and d are numbers and the base b is 2, 10, or e; evaluate the logarithm using technology.","P70, 71"
F-LE.5,High School — Functions,"Linear, Quadratic, and Exponential Models★",Interpret expressions for functions in terms of the situation they model,5. Interpret the parameters in a linear or exponential function in terms of a context.,P71
F-TF.1,High School — Functions,Trigonometric Functions,Extend the domain of trigonometric functions using the unit circle,1. Understand radian measure of an angle as the length of the arc on the unit circle subtended by the angle.,P71
F-TF.2,High School — Functions,Trigonometric Functions,Extend the domain of trigonometric functions using the unit circle,"2. Explain how the unit circle in the coordinate plane enables the extension of trigonometric functions to all real numbers, interpreted as radian measures of angles traversed counterclockwise around the unit circle.",P71
F-TF.3,High School — Functions,Trigonometric Functions,Extend the domain of trigonometric functions using the unit circle,"3. (+) Use special triangles to determine geometrically the values of sine, cosine, tangent for π/3, π/4 and π/6, and use the unit circle to express the values of sine, cosine, and tangent for π–x, π+x, and 2π–x in terms of their values for x, where x is any real number.",P71
F-TF.4,High School — Functions,Trigonometric Functions,Extend the domain of trigonometric functions using the unit circle,4. (+) Use the unit circle to explain symmetry (odd and even) and periodicity of trigonometric functions.,P71
F-TF.5,High School — Functions,Trigonometric Functions,Model periodic phenomena with trigonometric functions,"5. Choose trigonometric functions to model periodic phenomena with specified amplitude, frequency, and midline.★",P71
F-TF.6,High School — Functions,Trigonometric Functions,Model periodic phenomena with trigonometric functions,6. (+) Understand that restricting a trigonometric function to a domain on which it is always increasing or always decreasing allows its inverse to be constructed.,P71
F-TF.7,High School — Functions,Trigonometric Functions,Model periodic phenomena with trigonometric functions,"7. (+) Use inverse functions to solve trigonometric equations that arise in modeling contexts; evaluate the solutions using technology, and interpret them in terms of the context.★",P71
F-TF.8,High School — Functions,Trigonometric Functions,Prove and apply trigonometric identities,"8. Prove the Pythagorean identity sin²(θ) + cos²(θ) = 1 and use it to find sin(θ), cos(θ), or tan(θ) given sin(θ), cos(θ), or tan(θ) and the quadrant of the angle.",P71
F-TF.9,High School — Functions,Trigonometric Functions,Prove and apply trigonometric identities,"9. (+) Prove the addition and subtraction formulas for sine, cosine, and tangent and use them to solve problems.",P71
G-CO.1,High School — Geometry,Congruence,Experiment with transformations in the plane,"1. Know precise definitions of angle, circle, perpendicular line, parallel line, and line segment, based on the undefined notions of point, line, distance along a line, and distance around a circular arc.",P76
G-CO.2,High School — Geometry,Congruence,Experiment with transformations in the plane,"2. Represent transformations in the plane using,",P76
G-CO.3,High School — Geometry,Congruence,Experiment with transformations in the plane,"3. Given a rectangle, parallelogram, trapezoid, or regular polygon, describe the rotations and reflections that carry it onto itself.",P76
G-CO.4,High School — Geometry,Congruence,Experiment with transformations in the plane,"4. Develop definitions of rotations, reflections, and translations in terms of angles, circles, perpendicular lines, parallel lines, and line segments.",P76
G-CO.5,High School — Geometry,Congruence,Experiment with transformations in the plane,"5. Given a geometric figure and a rotation, reflection, or translation, draw the transformed figure using,",P76
G-CO.6,High School — Geometry,Congruence,Understand congruence in terms of rigid motions,"6. Use geometric descriptions of rigid motions to transform figures and to predict the effect of a given rigid motion on a given figure; given two figures, use the definition of congruence in terms of rigid motions to decide if they are congruent.",P76
G-CO.7,High School — Geometry,Congruence,Understand congruence in terms of rigid motions,7. Use the definition of congruence in terms of rigid motions to show that two triangles are congruent if and only if corresponding pairs of sides and corresponding pairs of angles are congruent.,P76
G-CO.8,High School — Geometry,Congruence,Understand congruence in terms of rigid motions,"8. Explain how the criteria for triangle congruence (ASA, SAS, and SSS) follow from the definition of congruence in terms of rigid motions.",P76
G-CO.9,High School — Geometry,Congruence,Prove geometric theorems,"9. Prove theorems about lines and angles. Theorems include: vertical angles are congruent; when a transversal crosses parallel lines, alternate interior angles are congruent and corresponding angles are congruent; points on a perpendicular bisector of a line segment are exactly those equidistant from the segment’s endpoints.",P76
G-CO.10,High School — Geometry,Congruence,Prove geometric theorems,10. Prove theorems about triangles. Theorems include: measures of interior angles of a triangle sum to 180°; base angles of isosceles triangles are congruent; the segment joining midpoints of two sides of a triangle is parallel to the third side and half the length; the medians of a triangle meet at a point.,P76
G-CO.11,High School — Geometry,Congruence,Prove geometric theorems,"11. Prove theorems about parallelograms. Theorems include: opposite sides are congruent, opposite angles are congruent, the diagonals of a parallelogram bisect each other, and conversely, rectangles are parallelograms with congruent diagonals.",P76
G-CO.12,High School — Geometry,Congruence,Make geometric constructions,"12. Make formal geometric constructions with a variety of tools and methods (compass and straightedge, string, reflective devices, paper folding, dynamic geometric software, etc.). Copying a segment; copying an angle; bisecting a segment; bisecting an angle; constructing perpendicular lines, including the perpendicular bisector of a line segment; and constructing a line parallel to a given line through a point not on the line.",P76
G-CO.13,High School — Geometry,Congruence,Make geometric constructions,"13. Construct an equilateral triangle, a square, and a regular hexagon inscribed in a circle.",P76
G-SRT.1,High School — Geometry,"Similarity, Right Triangles, and Trigonometry",Understand similarity in terms of similarity transformations,"1. Verify experimentally the properties of dilations given by a center and a scale factor: a. A dilation takes a line not passing through the center of the dilation to a parallel line, and leaves a line passing through the center unchanged. b. The dilation of a line segment is longer or shorter in the ratio given by the scale factor.",P77
G-SRT.2,High School — Geometry,"Similarity, Right Triangles, and Trigonometry",Understand similarity in terms of similarity transformations,"2. Given two figures, use the definition of similarity in terms of similarity transformations to decide if they are similar; explain using similarity transformations the meaning of similarity for triangles as the equality of all corresponding pairs of angles and the proportionality of all corresponding pairs of sides.",P77
G-SRT.3,High School — Geometry,"Similarity, Right Triangles, and Trigonometry",Understand similarity in terms of similarity transformations,3. Use the properties of similarity transformations to establish the AA criterion for two triangles to be similar.,P77
G-SRT.4,High School — Geometry,"Similarity, Right Triangles, and Trigonometry",Prove theorems involving similarity,"4. Prove theorems about triangles. Theorems include: a line parallel to one side of a triangle divides the other two proportionally, and conversely; the Pythagorean Theorem proved using triangle similarity.",P77
G-SRT.5,High School — Geometry,"Similarity, Right Triangles, and Trigonometry",Prove theorems involving similarity,5. Use congruence and similarity criteria for triangles to solve problems and to prove relationships in geometric figures.,P77
G-SRT.6,High School — Geometry,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,"6. Understand that by similarity, side ratios in right triangles are properties of the angles in the triangle, leading to definitions of trigonometric ratios for acute angles.",P77
G-SRT.7,High School — Geometry,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,7. Explain and use the relationship between the sine and cosine of complementary angles.,P77
G-SRT.8,High School — Geometry,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,8. Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems.★,P77
G-SRT.9,High School — Geometry,"Similarity, Right Triangles, and Trigonometry",Apply trigonometry to general triangles,9. (+) Derive the formula A = 1/2 ab sin(C) for the area of a triangle by drawing an auxiliary line from a vertex perpendicular to the opposite side.,P77
G-SRT.10,High School — Geometry,"Similarity, Right Triangles, and Trigonometry",Apply trigonometry to general triangles,10. (+) Prove the Laws of Sines and Cosines and use them to solve problems.,P77
G-SRT.11,High School — Geometry,"Similarity, Right Triangles, and Trigonometry",Apply trigonometry to general triangles,11. (+) Understand and apply the Law of Sines and the Law of Cosines to find unknown measurements in right and non-right triangles.,P77
G-C.1,High School — Geometry,Circles,Understand and apply theorems about circles,1. Prove that all circles are similar.,P77
G-C.2,High School — Geometry,Circles,Understand and apply theorems about circles,"2. Identify and describe relationships among inscribed angles, radii, and chords. Include the relationship between central, inscribed, and circumscribed angles; inscribed angles on a diameter are right angles; the radius of a circle is perpendicular to the tangent where the radius intersects the circle.",P77
G-C.3,High School — Geometry,Circles,Understand and apply theorems about circles,"3. Construct the inscribed and circumscribed circles of a triangle, and prove properties of angles for a quadrilateral inscribed in a circle.",P77
G-C.4,High School — Geometry,Circles,Understand and apply theorems about circles,4. (+) Construct a tangent line from a point outside a given circle to the circle.,P77
G-C.5,High School — Geometry,Circles,Find arc lengths and areas of sectors of circles,"5. Derive using similarity the fact that the length of the arc intercepted by an angle is proportional to the radius, and define the radian measure of the angle as the constant of proportionality; derive the formula for the area of a sector.",P78
G-GPE.1,High School — Geometry,Expressing Geometric Properties with Equations,Translate between the geometric description and the equation for a conic section,1. Derive the equation of a circle of given center and radius using the Pythagorean Theorem; complete the square to find the center and radius of a circle given by an equation.,P78
G-GPE.2,High School — Geometry,Expressing Geometric Properties with Equations,Translate between the geometric description and the equation for a conic section,2. Derive the equation of a parabola given a focus and directrix.,P78
G-GPE.3,High School — Geometry,Expressing Geometric Properties with Equations,Translate between the geometric description and the equation for a conic section,"3. (+) Derive the equations of ellipses and hyperbolas given the foci, using the fact that the sum or difference of distances from the foci is constant.",P78
G-GPE.4,High School — Geometry,Expressing Geometric Properties with Equations,Use coordinates to prove simple geometric theorems algebraically,4. Use coordinates to prove simple geometric theorems algebraically.,P78
G-GPE.5,High School — Geometry,Expressing Geometric Properties with Equations,Use coordinates to prove simple geometric theorems algebraically,5. Prove the slope criteria for parallel and perpendicular lines and use them to solve geometric problems.,P78
G-GPE.6,High School — Geometry,Expressing Geometric Properties with Equations,Use coordinates to prove simple geometric theorems algebraically,6. Find the point on a directed line segment between two given points that partitions the segment in a given ratio.,P78
G-GPE.7,High School — Geometry,Expressing Geometric Properties with Equations,Use coordinates to prove simple geometric theorems algebraically,"7. Use coordinates to compute perimeters of polygons and areas of triangles and rectangles,",P78
G-GMD.1,High School — Geometry,Geometric Measurement and Dimension,Explain volume formulas and use them to solve problems,"1. Give an informal argument for the formulas for the circumference of a circle, area of a circle, volume of a cylinder, pyramid, and cone. Use dissection arguments, Cavalieri’s principle, and informal limit arguments.",P78
G-GMD.2,High School — Geometry,Geometric Measurement and Dimension,Explain volume formulas and use them to solve problems,2. (+) Give an informal argument using Cavalieri’s principle for the formulas for the volume of a sphere and other solid figures.,P78
G-GMD.3,High School — Geometry,Geometric Measurement and Dimension,Explain volume formulas and use them to solve problems,"3. Use volume formulas for cylinders, pyramids, cones, and spheres to solve problems.★",P78
G-GMD.4,High School — Geometry,Geometric Measurement and Dimension,Visualize relationships between two-dimensional and three-dimensional objects,"4. Identify the shapes of two-dimensional cross-sections of three-dimensional objects, and identify three-dimensional objects generated by rotations of two-dimensional objects.",P78
G-MG.1,High School — Geometry,Modeling with Geometry,Apply geometric concepts in modeling situations,"1. Use geometric shapes, their measures, and their properties to describe objects.★",P78
G-MG.2,High School — Geometry,Modeling with Geometry,Apply geometric concepts in modeling situations,2. Apply concepts of density based on area and volume in modeling situations.★,P78
G-MG.3,High School — Geometry,Modeling with Geometry,Apply geometric concepts in modeling situations,3. Apply geometric methods to solve design problems.★,P78
S-ID.1,High School — Statistics and Probability,Interpreting Categorical and Quantitative Data,"Summarize, represent, and interpret data on a single count or measurement variable","1. Represent data with plots on the real number line (dot plots, histograms, and box plots).",P81
S-ID.2,High School — Statistics and Probability,Interpreting Categorical and Quantitative Data,"Summarize, represent, and interpret data on a single count or measurement variable","2. Use statistics appropriate to the shape of the data distribution to compare center (median, mean) and spread (interquartile range, standard deviation) of two or more different data sets.",P81
S-ID.3,High School — Statistics and Probability,Interpreting Categorical and Quantitative Data,"Summarize, represent, and interpret data on a single count or measurement variable","3. Interpret differences in shape, center, and spread in the context of the data sets, accounting for possible effects of extreme data points (outliers).",P81
S-ID.4,High School — Statistics and Probability,Interpreting Categorical and Quantitative Data,"Summarize, represent, and interpret data on a single count or measurement variable","4. Use the mean and standard deviation of a data set to fit it to a normal distribution and to estimate population percentages. Recognize that there are data sets for which such a procedure is not appropriate. Use calculators, spreadsheets, and tables to estimate areas under the normal curve.",P81
S-ID.5,High School — Statistics and Probability,Interpreting Categorical and Quantitative Data,"Summarize, represent, and interpret data on two categorical and quantitative variables","5. Summarize categorical data for two categories in two-way frequency tables. Interpret relative frequencies in the context of the data (including joint, marginal, and conditional relative frequencies). Recognize possible associations and trends in the data.",P81
S-ID.6,High School — Statistics and Probability,Interpreting Categorical and Quantitative Data,"Summarize, represent, and interpret data on two categorical and quantitative variables","6. Represent data on two quantitative variables on a scatter plot, and describe how the variables are related. a. Fit a function to the data; use functions fitted to data to solve problems in the context of the data. Use given functions or choose a function suggested by the context. Emphasize linear, quadratic, and exponential models. b. Informally assess the fit of a function by plotting and analyzing residuals. c. Fit a linear function for a scatter plot that suggests a linear association.",P81
S-ID.7,High School — Statistics and Probability,Interpreting Categorical and Quantitative Data,Interpret linear models,7. Interpret the slope (rate of change) and the intercept (constant term) of a linear model in the context of the data.,P81
S-ID.8,High School — Statistics and Probability,Interpreting Categorical and Quantitative Data,Interpret linear models,8. Compute (using technology) and interpret the correlation coefficient of a linear fit.,P81
S-ID.9,High School — Statistics and Probability,Interpreting Categorical and Quantitative Data,Interpret linear models,9. Distinguish between correlation and causation.,P81
S-IC.1,High School — Statistics and Probability,Making Inferences and Justifying Conclusions,Understand and evaluate random processes underlying statistical experiments,1. Understand statistics as a process for making inferences about population parameters based on a random sample from that population.,P81
S-IC.2,High School — Statistics and Probability,Making Inferences and Justifying Conclusions,Understand and evaluate random processes underlying statistical experiments,"2. Decide if a specified model is consistent with results from a given data-generating process,",P81
